id	emotion
34170_0002_A_12	0.0689864307641983,0.065360426902771,0.10730349272489548,0.0986621305346489,0.0813915804028511,0.1894540786743164
34170_0002_A_14	0.06772089004516602,0.0612887479364872,0.1075957641005516,0.0909380093216896,0.08308114856481552,0.18681375682353973
34170_0003_A_16	0.05487876757979393,0.06384250521659851,0.11492595821619034,0.09083174914121628,0.07540596276521683,0.19906872510910034
34170_0003_A_17	0.0734172910451889,0.06610366702079773,0.10575390607118607,0.09462859481573105,0.07998093217611313,0.1863536536693573
34170_0003_A_18	0.06891673803329468,0.07294225692749023,0.114097461104393,0.09981291741132736,0.07410214096307755,0.1855783611536026
34170_0003_A_20	0.07237383723258972,0.06569558382034302,0.1067846342921257,0.09826802462339401,0.07961555570363998,0.18921349942684174
34170_0003_A_21	0.06601141393184662,0.06353995203971863,0.10019660741090775,0.09484554082155228,0.08448553830385208,0.1881682574748993
34170_0004_A_24	0.06923572719097137,0.06255403161048889,0.11254812031984329,0.09641791135072708,0.07492820173501968,0.18665063381195068
34170_0004_A_25	0.06191488727927208,0.07310247421264648,0.10635270923376083,0.0940091535449028,0.0767667219042778,0.1953989863395691
34170_0004_A_26	0.06179122254252434,0.07315292954444885,0.10640621930360794,0.09397677332162857,0.07680661231279373,0.19555363059043884
34170_0004_A_27	0.07484333217144012,0.06581833958625793,0.11346758157014847,0.09921710938215256,0.079942487180233,0.18016952276229858
34170_0004_A_28	0.0725627988576889,0.06408801674842834,0.10431843250989914,0.09424593299627304,0.07960573583841324,0.18787406384944916
34170_0005_A_31	0.05623866245150566,0.07359787821769714,0.11541923135519028,0.10444680601358414,0.07671941071748734,0.19804653525352478
34170_0005_A_33	0.06581549346446991,0.0704435408115387,0.11538489907979965,0.09795930236577988,0.08103994280099869,0.19191549718379974
34170_0005_A_35	0.0738745927810669,0.07092437148094177,0.10965236276388168,0.1003599539399147,0.08413410931825638,0.1890379786491394
34170_0004_A_29	0.07258893549442291,0.06331971287727356,0.10527188330888748,0.09503080695867538,0.07916281372308731,0.18772512674331665
34170_0005_A_34	0.060238998383283615,0.07238438725471497,0.11321545392274857,0.10052124410867691,0.07951159030199051,0.1969679594039917
34170_0005_A_36	0.06769262254238129,0.06565392017364502,0.11069617420434952,0.09679459780454636,0.08106846362352371,0.1890503466129303
34170_0005_A_32	0.06483960151672363,0.06567403674125671,0.11418064683675766,0.09863007813692093,0.07842407375574112,0.190995454788208
34170_0007_A_42	0.06890453398227692,0.06639593839645386,0.1168222650885582,0.09139161556959152,0.08687228709459305,0.19389909505844116
34170_0007_A_43	0.06718072295188904,0.06912511587142944,0.11799202114343643,0.09796430915594101,0.07947466522455215,0.19319337606430054
34170_0007_A_44	0.07361806929111481,0.07445019483566284,0.11308891326189041,0.10227327793836594,0.0740487352013588,0.18897998332977295
34170_0007_A_45	0.07281886041164398,0.06288868188858032,0.11848071962594986,0.09857399016618729,0.08280160278081894,0.19019129872322083
34170_0007_A_46	0.07363606989383698,0.06837880611419678,0.11194968968629837,0.0992577001452446,0.07518386095762253,0.19116699695587158
34170_0007_A_47	0.06480410695075989,0.05907866731286049,0.10588283091783524,0.09920909255743027,0.08173526078462601,0.19090178608894348
34170_0008_A_49	0.0698423683643341,0.06507560610771179,0.1100412979722023,0.09248024970293045,0.08731839805841446,0.18813632428646088
34170_0008_A_50	0.07777613401412964,0.05777418985962868,0.10956563800573349,0.10534153133630753,0.07640517503023148,0.18064790964126587
34170_0008_A_51	0.07276302576065063,0.06554868817329407,0.10242126137018204,0.099025197327137,0.07687217742204666,0.1876383274793625
34170_0009_A_54	0.07445228099822998,0.06559330224990845,0.11175227910280228,0.10221365839242935,0.07699782401323318,0.18849068880081177
34170_0009_A_56	0.07115551829338074,0.07948341965675354,0.12159838527441025,0.09773609787225723,0.0736091360449791,0.1944379210472107
34170_0009_A_58	0.07412022352218628,0.07202035188674927,0.11153378337621689,0.0974440947175026,0.07435426861047745,0.1926075667142868
34170_0009_A_59	0.07117438316345215,0.06613621115684509,0.1096033826470375,0.09240605682134628,0.08597255498170853,0.18985331058502197
34170_0009_A_60	0.06635470688343048,0.06903478503227234,0.10931655019521713,0.10467220097780228,0.07353832572698593,0.18783089518547058
34170_0009_A_61	0.06340016424655914,0.06868168711662292,0.11487116664648056,0.10029371827840805,0.07569358497858047,0.18861274421215057
34170_0009_A_62	0.0701063871383667,0.0715402364730835,0.11010997742414474,0.10260970145463943,0.07614917308092117,0.1899515837430954
34170_0009_A_63	0.07044138014316559,0.07171899080276489,0.11024440079927444,0.10219907015562057,0.07603762298822403,0.18977324664592743
34170_0009_A_64	0.07642090320587158,0.06564834713935852,0.10266422480344772,0.0993141308426857,0.08073960989713669,0.1888352781534195
34170_0010_A_66	0.07067911326885223,0.07000309228897095,0.1082729771733284,0.09901482611894608,0.08278284221887589,0.18610446155071259
